K_cap,k_low,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
70,19,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,19,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,19,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,19,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,19,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,19,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,20,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,20,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,20,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,20,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,20,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,20,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,20,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,22,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,22,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
